"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7"
"1",NA,0,1.5336576,0.0486997266850909,1.331,1.77156,100,1.000002,0.54,0.46,0,0,0,0,0
"2",NA,1,1.331,0,1.331,1.331,100,1.099998,1,0,0,0,0,0,0
"3",NA,2,1.463168,0.0411712665212121,1.331,1.77156,100,0,0.7,0.3,0,0,0,0,0
"4",NA,3,1.331,0,1.331,1.331,100,1.210002,1,0,0,0,0,0,0
"5",NA,4,1.5702334,0.0482371896650909,1.331,1.77156,100,0,0.45,0.54,0.01,0,0,0,0
"6",NA,5,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01,0,0,0,0,0
"7",NA,6,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0.02,0,0,0,0,0
"8",NA,7,1.331,0,1.331,1.331,100,1.330998,1,0,0,0,0,0,0
"9",NA,8,1.5380632,0.0488369642401616,1.331,1.77156,100,0,0.53,0.47,0,0,0,0,0
"10",NA,9,1.3442168,0.0057051612179394,1.331,1.77156,100,0,0.97,0.03,0,0,0,0,0
"11",NA,10,1.52466,0.0959329103030303,0,1.77156,100,0,0.48,0.5,0,0.02,0,0,0
"12",NA,11,1.331,0,1.331,1.331,100,0,1,0,0,0,0,0,0
"13",NA,12,1.5631004,0.0971939104483232,0,1.77156,100,0,0.38,0.59,0,0.02,0.01,0,0
"14",NA,13,1.4673872,0.0895395997052121,0,1.77156,100,0,0.61,0.37,0,0.02,0,0,0
"15",NA,14,1.5510004,0.120466253559434,0,1.77156,100,0,0.38,0.59,0,0.03,0,0,0
"16",NA,15,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0.02,0,0,0,0,0
"17",NA,16,1.670138,0.0585611291272727,0,1.77156,100,0,0.19,0.8,0,0.01,0,0,0
"18",NA,17,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01,0,0,0,0,0
"19",NA,18,1.5451707,0.0723386541399091,0,1.77156,100,0,0.47,0.51,0,0.01,0,0.01,0
"20",NA,19,1.3398112,0.0038426515419798,1.331,1.77156,100,0,0.98,0.02,0,0,0,0,0
"21",NA,20,1.611562,0.0936644178545455,0,1.77156,100,0,0.27,0.7,0,0.02,0.01,0,0
"22",NA,21,1.4279423,0.153848041316879,0,1.77156,100,0,0.56,0.37,0,0.05,0,0.01,0.01
"23",NA,22,1.5304836,0.119637281017212,0,1.77156,100,0,0.37,0.52,0.02,0.03,0.01,0.04,0.01
"24",NA,23,1.3486224,0.00752846016387879,1.331,1.77156,100,0,0.96,0.04,0,0,0,0,0
"25",NA,24,1.7583432,0.0057051612179394,1.331,1.77156,100,0,0.03,0.97,0,0,0,0,0
"26",NA,25,1.5804155,0.0715189028128788,0,1.77156,100,0,0.39,0.59,0,0.01,0,0.01,0
"27",NA,26,1.552145,0.167687493853535,0,1.77156,100,0,0.29,0.65,0.01,0.05,0,0,0
"28",NA,27,1.5428607,0.0738717274065758,0,1.77156,100,0,0.46,0.51,0,0.01,0,0.01,0.01
"29",NA,28,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"30",NA,29,1.5606767,0.166730999044556,0,1.77156,100,0,0.26,0.66,0.02,0.05,0,0.01,0
"31",NA,30,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99,0,0,0,0,0
"32",NA,31,1.7451264,0.011057425865697,1.331,1.77156,100,0,0.06,0.94,0,0,0,0,0
"33",NA,32,1.77156,0,1.77156,1.77156,100,1.099998,0,1,0,0,0,0,0
"34",NA,33,1.5777136,0.0483076193848889,1.331,1.77156,100,0,0.44,0.56,0,0,0,0,0
"35",NA,34,1.7627488,0.0038426515419798,1.331,1.77156,100,0,0.02,0.98,0,0,0,0,0
"36",NA,35,1.31769,0.01771561,0,1.331,100,0,0.99,0,0,0.01,0,0,0
"37",NA,36,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"38",NA,37,1.5124414,0.141850903272768,0,1.77156,100,0,0.42,0.52,0,0.04,0,0.02,0
"39",NA,38,1.5932996,0.0454111395917576,1.331,1.77156,100,0,0.39,0.57,0,0,0,0.04,0
"40",NA,39,1.3354056,0.001940931136,1.331,1.77156,100,0,0.99,0.01,0,0,0,0,0
"41",NA,40,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"42",NA,41,1.6111615,0.0925719805078283,0,1.77156,100,0,0.28,0.69,0,0.02,0,0.01,0
"43",NA,42,1.6697653,0.0816000597665758,0,1.77156,100,0,0.14,0.82,0.01,0.02,0,0.01,0
"44",NA,43,1.5335644,0.072514039915798,0,1.77156,100,0,0.5,0.49,0,0.01,0,0,0
"45",NA,44,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99,0,0,0,0,0
"46",NA,45,1.5760376,0.16816883357802,0,1.77156,100,0,0.23,0.71,0,0.05,0.01,0,0
"47",NA,46,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"48",NA,47,1.7539376,0.00752846016387879,1.331,1.77156,100,0,0.04,0.96,0,0,0,0,0
"49",NA,48,1.77156,0,1.77156,1.77156,100,1.210002,0,1,0,0,0,0,0
"50",NA,49,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99,0,0,0,0,0
"51",NA,50,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"52",NA,51,1.5864316,0.0715829363812525,0,1.77156,100,0,0.38,0.61,0,0.01,0,0,0
"53",NA,52,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"54",NA,53,1.6213968,0.139317946624,0,1.77156,100,0,0.18,0.78,0,0.04,0,0,0
"55",NA,54,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"56",NA,55,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99,0,0,0,0,0
"57",NA,56,1.77156,0,1.77156,1.77156,100,1.330998,0,1,0,0,0,0,0
"58",NA,57,1.7671544,0.001940931136,1.331,1.77156,100,0,0.01,0.99,0,0,0,0,0
"59",NA,58,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"60",NA,59,1.7640798,0.00285888309086869,1.331,1.77156,100,0,0.01,0.98,0.01,0,0,0,0
"61",NA,60,1.77156,0,1.77156,1.77156,100,1.464102,0,1,0,0,0,0,0
"62",NA,61,1.77156,0,1.77156,1.77156,100,0,0,1,0,0,0,0,0
"63",NA,62,1.77156,0,1.77156,1.77156,100,1.610508,0,1,0,0,0,0,0
"64",NA,63,1.77156,0,1.77156,1.77156,100,1.77156,0,1,0,0,0,0,0
